,item_name,item_description,item-price
0,Meal for One,"Any Pizza, Appetiser & Soft Drink!",65.0
1,Meal for 2,"Any 2 Pizzas, Any Appetizer, 2 Soft Drinks. Super value and perfect for sharing!",99.0
2,Appetiser Sharing Box,Choice of any 3 Appetisers!,72.0
3,Appetiser Sharing Box,Choice of any 3 Appetisers!,72.0
4,BBQ Brisket,"Tomato sauce, fior di latte mozzarella, homemade slow cooked pulled BBQ beef brisket, sundried tomato, smoked cheddar, spring onion, garlic & herb drizzle",58.0
5,BBQ Brisket,"Tomato sauce, fior di latte mozzarella, homemade slow cooked pulled BBQ beef brisket, sundried tomato, smoked cheddar, spring onion, garlic & herb drizzle",58.0
6,Oven-baked Garlic Bread & Mozzarella,"Rocco`s classic dough baked with homemade roast garlic, olive oil, fior di latte and fresh rosemary. Add our homemade Pesto, or creamy fresh Straciatella",28.0
7,Oven-baked Garlic Bread & Mozzarella,"Rocco`s classic dough baked with homemade roast garlic, olive oil, fior di latte and fresh rosemary. Add our homemade Pesto, or creamy fresh Straciatella",28.0
8,Fattoria,"Tomato sauce, fior di latte mozzarella, caramelized onions, sundried tomatoes, homemade pesto, roast pine nuts, goat cheese",58.0
9,Fattoria,"Tomato sauce, fior di latte mozzarella, caramelized onions, sundried tomatoes, homemade pesto, roast pine nuts, goat cheese",58.0
10,Garlic Pesto Shrimp,"Pesto cream sauce, fior di latte mozzarella, sauteed shrimp, friarielli, roast garlic",55.0
11,Garlic Pesto Shrimp,"Pesto cream sauce, fior di latte mozzarella, sauteed shrimp, friarielli, roast garlic",55.0
12,Banana Caramel Pudding,"A creamy pile of deliciousness made with caramelised banana, custard cream, and banana caramel sauce",28.0
13,Banana Caramel Pudding,"A creamy pile of deliciousness made with caramelised banana, custard cream, and banana caramel sauce",28.0
14,Tender Chicken Strips,"Juicy, tender and succulent breaded strips, served with a choice of dip",32.0
15,Seasoned Potato Wedges,"Crispy fried potato wedges, lightly seasoned and served with a choice of dip",25.0
16,Calamari Fritti,Crispy fried breaded calamari rings served with a choice of dip,34.0
17,Bruschetta,"Toasted homemade ciabatta topped with fresh tomatoes, chopped garlic, onions and basil",28.0
18,Mozzarella Fritta,"Thick, creamy slices of mozzarella, breaded and shallow-fried Served with a choice of dip",28.0
19,Homemade Italian Meatballs,"Home-made beef meatballs, with Italian herbs, in a rich tomato ragu",28.0
20,Tomato & Basil Soup,"Our classic tomato soup is homemade with ripe plum tomatoes and mixed garden legumes for excellent flavor, seasoned with olive oil and basil and served with a side of crispy garlic bread",26.0
21,Insalata Di Rocco,"Fresh mixed Italian greens, cherry tomatoes, kalamata olives, spring onion, oven baked goat cheese, fresh mushrooms, walnuts, pine nuts, homemade sweet balsamic dressing",41.0
22,Grilled Chicken Caesar,"Romaine lettuce with a creamy Caesar dressing, homemade garlic croutons, powdered parmesan cheese and grilled chicken breast",41.0
23,Organic Quinoa Greco,"White quinoa, authentic Greek feta, kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",41.0
24,Fusili Chicken Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",41.0
25,Insalata Sparta,"Mixed fresh Italian greens, kalamata olives, chopped avocado, feta cheese, oregano, Italian pesto dressing",41.0
26,Insalata Caprese,"Sliced vine tomato, sliced fresh mozzarella, topped with our homemade pesto, fresh basil, sea salt flakes and EVOO",46.0
27,Garden Salad,"Italian mixed greens, cherry tomato, cucumber, spring onion, classic Italian dressing",31.0
28,Create your own SALAD,Create your own super salad with a wide range of freshly prepared ingredients and sauces,28.0
29,Create your own SALAD,Create your own super salad with a wide range of freshly prepared ingredients and sauces,28.0
30,Margherita,"Tomato sauce, fior di latte mozzarella, fresh basil",46.0
31,Funghi,"Tomato sauce, fior di latte mozzarella, fresh mushrooms, fresh basil",49.0
32,Verdure,"Tomato sauce, fior di latte mozzarella, oven roast peppers, zucchini, aubergine, fresh mushrooms, sliced onions, kalamata olives",52.0
33,Diavola,"Tomato sauce, fior di latte mozzarella, Italian salami (mildly spicy), oregano",55.0
34,Regina,"Tomato sauce, fior di latte mozzarella, smoked turkey, fresh mushrooms, olives, oregano",52.0
35,Bresaola,"Tomato sauce, fior di latte mozzarella, sliced beef bresaola, fresh rocket, topped with grated parmesan",52.0
36,Quattro Formaggi,"Tomato sauce, fior di latte mozzarella, gorgonzola, emmental, grated parmesan",55.0
37,Quattro Stagioni,"Tomato sauce, fior di latte mozzarella, artichokes, fresh mushrooms, red peppers, smoked turkey, kalamata olives",55.0
38,Siciliana,"Tomato sauce, fior di latte mozzarella, capers, kalamata olives, Mediterranean anchovies, oregano",49.0
39,Tonno,"Tomato sauce, fior di latte mozzarella, Mediterranean tuna, olives, sliced onion, capers",52.0
